,frequency,Combo,result,,
278,68,good communication skills,0,,
64,62,retirement travel allowance,0,"This is also not really a requirment, it's about waht job offers, but doesn't provides us with info about requirment/vacancy",
141,29,excellent communication skills,0,,
4960,25,social support act,0,Guess same here as above,
241,21,further develop yourself,0,,
668,18,strong communication skills,0,,
447,18,working atmosphere within,0,,
874,18,dutch language spoken,1,,
811,17,english language spoken,1,,
2157,16,button experience professional,0,,
554,16,thinking level at,0,,
1550,16,good social skills,0,,
114,15,mbo level 3,1,,
86,15,discount travel allowance,0,,
2158,15,building management systems,1,not so sure here,I think it could work (probably should be phrased as knowledge of ...)
2220,14,technical service employee,0,,
2161,14,following strict requirements,0,,
389,14,certificate driver license,0,Oh nvm ,
163,14,become enthusiastic about,0,I was going to say that if it's 2 words + 1 word not nessary we skip it,
2159,14,complex maintenance contract,0,"I'm not that sure about working atmoshpre within, for example, because within is not nessary, and also working atmoshere on it's own isn't really a requirment/info about vacancy",
276,14,years education hbo,2,,
152,13,opportunities travel allowance,0,,
31,13,written communication skills,1,but this is what we want:),
2068,13,become enthusiastic after,0,,
636,13,advantage thorough knowledge,0,,
3,13,valid driver license,0,"And this one is rather not, becase driver licence criteria assumes it's valid",
372,13,vocational education level,1,,
133,12,most successful companies,0,,
128,12,logistics service providers,1,,
1479,12,home care organization,1,,
902,12,short communication lines,0,,
2162,12,running consignment services,1,,
2160,12,mind running consignment,,,
1210,12,full travel allowance,,,
201,11,employment travel allowance,,,
3047,11,days excellent fringe,,,
137,11,team energetic innovative,,,
1260,11,perform technical nursing,1,,
206,11,be deployed flexibly,,,
583,11,ig level 3,1,,
125,11,all experience levels,,,
108,11,drinks travel allowance,,,
60,11,get excellent salary,,,
1339,11,have technical insight,,,
1879,10,candidate experience please,,,
1899,10,require assistance due,,,
1895,10,through inclusive programs,,,
1903,10,not duplicating efforts,,,
40,10,customer service employee,,,
1788,10,thinking level experience,,,
473,10,specialist mental healthcare,1,,
100,10,salary travel allowance,,,
2210,10,years education mbo,2,,
420,10,project management skills,,,
1898,10,employers qualified applicants,,,
249,9,other care providers,,,
130,9,energetic innovative employees,,,
593,9,have excellent communication,,,
126,9,work customer satisfaction,,,
1476,9,residential care center,1,,
1181,9,senior project manager,1,,
658,9,work atmosphere nowhere,,,
531,9,good communicative skills,,,
1825,9,2 screening interview,,,
1896,9,groups inclusive benefits,,,
634,9,profit sharing scheme,,,
6055,9,project leader healthcare,1,,
2955,9,500 cultural outings,,I think 0,
174,8,mbo level 4,1,,
5914,8,moving intelligence platform,,,
656,8,favorable travel pension,,,
657,8,second language nt2,1,,
2948,8,best care close,,,
660,8,foreign diploma supplemented,1,1,
411,8,specializations scientific research,1,,
6,8,super service oriented,,,
357,8,checking integrity via,,,
706,8,ce driver at,,,
1824,8,unlimited inspiring courses,,,
1035,8,become enthusiastic then,,,
387,8,year education mbo,2,,
1826,8,development educate yourself,,,
1251,7,covering travel allowance,,,
2396,7,own service van,1,,
2947,7,initiative care can,,,
1925,7,bonus travel allowance,,,
1124,7,materials excellent continuing,,,
263,7,work experience within,,,
2954,7,training caregiver ig,1,,
2952,7,takes initiative care,,,
435,7,meetings decontamination disinfection,1,,
76,7,plan travel allowance,,,
2544,7,allowance travel allowance,,,
78,7,excellent social skills,,,
409,7,religion social background,,,
1159,7,shared service center,,,
371,7,salary level scale,,,
1597,6,can experience whether,,,
232,6,all qualified applicants,,,
446,6,installation technician assistant,1,,
594,6,experience excellent secondary,,,
6068,6,work planner engineer,1,,
1807,6,children young people,,,
2211,6,english language both,,,
4242,6,do care together,,,
337,6,verbal communication skills,1,,
6133,6,senior social support,,,
471,6,growing innovative organization,,,
1526,6,defense support command,,,
385,6,work experience knowledge,,,
584,6,have excellent social,,,
5164,6,work experience preferably,,,
