,frequency,Combo,result,,,,,,
160,308,work experience,1,,,,,,
78,176,working atmosphere,,,,,,,
62,148,thinking level,2,,,,,,
115,140,have experience,1,,,,,,
301,133,team player,1,,,,,,
299,119,dutch language,1,,,,,,
74,104,installation technology,1,,,,,,
77,94,service technician,1,,,,,,
18,92,good communication,1,,,,,,
124,81,english language,1,,,,,,
261,81,have knowledge,0,this is doesn't provides us info,,,,,
81,80,take care,,,,"I'll leave a few notes to make sure we undrstand each other, if you don't mind",,,
247,75,home care,,,,,,,
226,65,project management,1,,,,,,
84,62,retirement travel,,,,,,,
15,57,mbo education,1,,,,,,
198,56,team leader,,,,,,,
676,55,work planner,,,,,,,
182,54,be deployed,,,,,,,
29,52,customer service,1,,,,,,
187,51,technical service,1,,,,,,
1700,51,service engineer,,,,,,,
120,48,be responsible,1,,,,,,
105,48,become enthusiastic,,,,,,,
35,48,mbo level,1,,,,,,
242,43,health care,,,,,,,
598,42,installation technician,1,,,,,,
223,42,extensive experience,0,"same as above, expereince in something particular will help, but not just experience",,,,,Also it's not 2 because we can't fix it by adding one word
397,40,further develop,,,,,,,
228,39,excellent communication,1,,,,,,
988,39,hbo education,1,,,,,,
335,37,best care,,,,,,,
554,35,vocational education,2,,,,,,
541,35,informal atmosphere,,,,,,,
1970,35,healthcare technology,1,,,,,,
152,34,market leader,,,,,,,
324,32,demonstrable experience,1,,,,,,
281,31,elderly care,1,,,,,,
1364,30,project leader,1,,,,,,
943,30,be happy,,,,,,,
117,30,good knowledge,0,"Same strory, we will only care about good knowledge in something",,,,,
444,29,years education,2,,,,,,
768,29,own initiative,,,,,,,
284,29,technical knowledge,1,,,,,,
2106,28,technical management,1,,,,,,
188,28,education level,2,,,,,,
2640,28,field service,1,,,,,,
1280,27,control technology,,,,,,,
181,27,take initiative,1,"sort of a skill, but vague",,,,,
844,27,have excellent,,,,,,,
154,26,technical insight,1,,,,,,
5750,26,social support,1,,,,,,
417,26,higher level,,,,,,,
620,25,customer experience,1,,,,,,
1529,25,continuing education,,,,,,,
433,24,can develop,,,,,,,
535,24,be eligible,,,,,,,
387,24,mbo diploma,1,,,,,,
980,24,preventive maintenance,1,,,,,,
1092,23,track record,,,,,,,
784,23,fri experience,,,,,,,
1060,22,residential care,,,,,,,
383,22,out maintenance,,,,,,,
955,21,strong communication,1,,,,,,
863,21,life cycle,,,,,,,
283,21,some experience,,,,,,,
974,21,term cooperation,,,,,,,
613,20,be successful,,,,,,,
133,20,taking care,,,,,,,
788,20,provide support,,,,,,,
753,20,profit sharing,,,,,,,
343,20,advantage experience,,,,,,,
765,19,thorough knowledge,0,We don't get any info from here,,,,,
432,19,full travel,,,,,,,
2045,19,good social,,,,,,,
3311,19,dental assistant,1,,,,,,
688,19,hbo diploma,1,,,,,,
34,19,high level,,,,,,,
1228,19,daily care,,,,,,,
4455,19,online marketer,1,,,,,,
386,19,maintenance mechanic,1,,,,,,
