Column1,frequency,Combo,result
7119,1,absolutely give,2
6382,1,absolutely great,2
6871,1,absolutely love,2
4116,1,absolutely need,2
5464,1,absolutely not,2
1470,1,academic care,2
5713,1,academic degree,2
1467,1,academic department,
1471,1,academic dialysis,
5067,1,academic disciplines,2
6491,3,academic education,
1469,1,academic environment,2
5593,1,academic higher,
6110,1,academic level,2
3553,1,academic setting,
3554,1,academic theme,
1468,1,academic treatment,
453,2,academic work,
251,5,academic working,
4157,1,accomplished how,2
3055,1,accounting 3,1
1212,1,accounting contributing,1
3440,1,accounting experience,1
1268,1,accounting financial,1
3437,1,accounting issues,
3438,1,accounting local,1
3439,1,accounting min,
1213,1,accounting plant,
3819,1,accounting practice,
3441,1,accounting practices,
182,3,accounting profession,
1267,1,accounting reporting,
1266,1,accounting rules,1
3249,1,accounting systems,
3301,1,accounting taking,
1104,1,accuracy being,2
6257,1,accuracy correct,
6952,1,accuracy flexibility,
872,1,accuracy learning,2
35,1,accuracy stress,
4363,1,achievement credibility,
4362,2,achievement engage,
4656,1,achievement oriented,
5698,1,achievement while,2
7043,1,acting being,
7118,1,acting by,
3312,1,acting dental,2
5148,2,acting dentist,
2969,1,acting education,
5232,1,acting from,
7324,4,acting gp,2
3307,3,acting independently,1
3200,1,acting ü,
6314,1,actionable action,
6553,1,actionable business,
3721,1,actionable conclusions,
6354,1,active all,
2171,8,active at,2
3790,3,active attitude,
3592,1,active both,
4478,1,active care,
6749,1,active community,2
445,6,active contribution,2
1804,2,active customer,2
3789,1,active decisive,
2396,1,active directory,
1203,1,active environment,
7382,2,active from,
1575,1,active group,
1867,1,active independent,2
3361,1,active input,
1905,1,active involved,
7412,2,active involvement,2
548,2,active listening,1
3247,1,active mind,1
7233,3,active part,
2562,3,active participation,1
2134,1,active player,1
7165,1,active positive,1
4611,1,active relations,1
4004,1,active role,
6172,3,active since,
3297,8,active staff,
7234,3,active takes,
6565,1,active throughout,2
4256,1,active worldwide,
7259,3,active youre,
3803,1,actuarial science,2
4150,1,acumen be,2
7425,2,acumen incl,
1133,2,adapt easily,1
695,1,adapt it,
111,4,adapt well,1
5981,1,adaptability can,
984,1,adaptability what,
6134,1,adaptable excels,
3879,2,adapting kitchens,2
4537,1,administering eye,1
3901,1,administering medicines,1
4538,1,administering vitamin,1
350,2,administrative actions,1
349,5,administrative assistant,1
104,1,administrative background,1
3733,3,administrative employee,1
5758,1,administrative environment,1
103,2,administrative experience,1
6165,1,administrative experienced,1
178,1,administrative field,1
1856,4,administrative handling,1
5730,2,administrative law,1
4932,3,administrative level,1
163,1,administrative logistics,1
829,1,administrative position,1
1816,2,administrative process,1
177,3,administrative processes,1
