,Index,word,frequency,Is requirment
0,0,work,4354,
1,1,team,2302,
2,2,working,2068,
3,3,experience,1994,1.0
4,4,customer,1870,1.0
5,5,also,1437,
6,6,good,1412,
7,7,time,1292,
8,8,service,1280,1.0
9,9,care,1250,1.0
10,10,company,1189,
11,11,offer,1174,
12,12,employment,1174,
13,13,day,1172,
14,14,looking,1134,
15,15,colleague,1105,
16,16,year,1068,
17,17,position,1049,
18,18,within,1047,
19,19,opportunity,1030,
20,20,development,1022,
21,21,training,997,
22,22,hour,981,
23,23,project,978,1.0
24,24,salary,967,
25,25,like,958,
26,26,job,958,
27,27,knowledge,939,1.0
28,28,new,897,
29,29,u,873,
30,30,client,836,1.0
31,31,contact,836,
32,32,together,817,
33,33,organization,815,
34,34,want,784,
35,35,full,779,
36,36,home,778,
37,37,get,741,
38,38,employee,732,
39,39,business,706,
40,40,make,704,
41,41,part,703,
42,42,technical,689,1.0
43,43,environment,679,
44,44,installation,663,1.0
45,45,application,654,
46,46,level,648,1.0
47,47,process,647,
48,48,term,646,
49,49,skill,641,1.0
50,50,product,636,
51,51,education,628,1.0
52,52,take,603,
53,53,per,603,
54,54,activity,603,
55,55,know,600,
56,56,professional,594,
57,57,one,593,
58,58,technology,580,1.0
59,59,management,569,1.0
60,60,location,569,
61,61,contract,568,
62,62,responsible,555,1.0
63,63,apply,553,
64,64,manager,552,
65,65,week,551,
66,66,addition,545,
67,67,quality,541,
68,68,maintenance,538,1.0
69,69,information,536,
70,70,solution,535,
71,71,vacancy,533,
72,72,allowance,529,
73,73,month,528,
74,74,would,518,
75,75,course,513,1.0
76,76,travel,510,1.0
77,77,type,505,
78,78,various,503,
79,79,important,488,
80,80,oriented,474,
81,81,personal,471,
82,82,going,466,
83,83,department,458,
84,84,need,457,
85,85,flexible,457,
86,86,well,454,
87,87,system,452,
88,88,support,451,1.0
89,89,develop,451,1.0
90,90,people,443,
91,91,based,442,
92,92,sale,441,
93,93,excellent,436,1.0
94,94,enthusiastic,436,1.0
95,95,ensure,432,
96,96,field,417,
97,97,possible,416,
98,98,construction,414,
99,99,help,405,1.0
0,100,building,405,
1,101,communication,398,1.0
2,102,question,396,
3,103,role,393,
4,104,independently,393,
5,105,requirement,390,
6,106,every,387,
7,107,condition,386,
8,108,responsibility,384,
9,109,dutch,383,
10,110,office,378,
11,111,provide,377,
12,112,holiday,375,
13,113,via,370,
14,114,plan,368,
15,115,least,367,
16,116,pay,361,
17,117,lot,353,
18,118,technician,351,1.0
19,119,way,348,
20,120,challenge,347,
21,121,pension,345,
22,122,best,344,
23,123,great,341,
24,124,permanent,340,
25,125,group,340,
26,126,receive,336,
27,127,specialist,334,
28,128,able,333,
29,129,challenging,331,
30,130,language,331,1.0
31,131,social,326,1.0
32,132,car,325,
33,133,engineering,322,
34,134,different,317,
35,135,scheme,317,
36,136,license,316,
37,137,use,315,
38,138,market,314,
39,139,start,311,
40,140,completed,311,
41,141,think,310,
42,142,growth,309,
43,143,first,307,
44,144,number,306,
45,145,career,302,
46,146,result,298,
47,147,schedule,297,
48,148,atmosphere,297,1.0
49,149,nurse,297,1.0
50,150,following,296,
51,151,problem,294,
52,152,period,293,
53,153,pleasant,291,1.0
54,154,come,289,
55,155,please,287,
56,156,possibility,284,
57,157,mechanic,284,1.0
58,158,end,283,
59,159,partner,282,1.0
60,160,possession,282,
61,161,diploma,280,1.0
62,162,shift,278,
63,163,high,277,
64,164,benefit,276,
65,165,advantage,276,
66,166,online,275,
67,167,fixed,274,
68,168,area,272,
69,169,immediately,271,
70,170,secondary,271,
71,171,certificate,271,
72,172,always,270,
73,173,healthcare,268,
74,174,room,267,
75,175,learn,266,
76,176,look,264,
77,177,independent,263,
78,178,electrical,263,
79,179,indefinite,261,
80,180,growing,260,
81,181,task,259,
82,182,necessary,259,
83,183,place,258,
84,184,strong,258,
85,185,dynamic,257,
86,186,follow,255,
87,187,patient,253,1.0
88,188,give,252,
89,189,bonus,250,
90,190,engineer,250,1.0
91,191,available,249,
92,192,telephone,249,
93,193,procedure,249,
94,194,ask,248,
95,195,practice,247,
96,196,health,246,
97,197,meet,243,
98,198,agreement,243,
99,199,region,241,
100,200,driver,239,1.0
101,201,find,239,
102,202,motivation,238,
103,203,family,236,
104,204,innovative,235,1.0
105,205,complex,234,
106,206,gross,232,
107,207,resident,232,
108,208,industry,231,
109,209,order,231,
110,210,example,231,
111,211,budget,230,
112,212,informal,230,
113,213,marketing,229,
114,214,relevant,229,
115,215,treatment,229,
116,216,right,228,
117,217,mean,227,
118,218,attitude,226,
119,219,data,226,
120,220,varied,226,
121,221,keep,225,
122,222,thinking,225,
123,223,contribute,222,
