,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Sales Consultant Brunel Engineering,-1,"Jij weet als geen andere mensen aan je te binden, mensen voor wie jij iets kunt betekenen. Voor werkzoekenden een mooie nieuwe opdracht en voor opdrachtgevers de juiste match op hun sourcingsvraagstuk. Ben je daarnaast nieuwsgierig naar marktontwikkelingen, hoor je graag meer over projecten die spelen binnen de industrie en ben je in staat om deze informatie te vertalen naar kansen voor Brunel dan is een rol als Sales Consultant perfect voor jou!
Over deze functie
Als Sales Consultant heb je altijd wat te doen. Jouw hoofddoel is het maken van de beste match tussen klanten en kandidaten, en daar komt nogal wat bij kijken. Jouw werk blijft niet bij het vinden en koppelen van beide partijen. Je bent ook nog eens verantwoordelijk voor het uitbreiden en onderhouden van je eigen netwerk aan kandidaten en opdrachtgevers.
Dat betekent dat je continu in contact staat met beide partijen. Hierin het overzicht bewaren en verschillende ballen in de lucht houden is voor jou geen probleem. Jouw focusgebied zal hierin liggen op specialisten en organisaties binnen de Noord-Nederlandse Industrie.
Samen met je team bedien je de vakgebieden: Maintenance- & Assetmanagement, Industriele Automatisering, Supply Chain & Logistiek en Innovatie & Ontwikkeling. Je collega's zijn stuk voor stuk commercieel, ondernemend en ambitieus. Samen gaan we voor het beste resultaat en herkenbaarheid in de markt.

Over jou
Kortom, je hebt een mega-palet aan taken en verantwoordelijkheden. Het is dus belangrijk dat je het overzicht goed kunt bewaren. En we vragen meer van je. Zo heb je in elk geval:
Een hbo-diploma van een commerciële of technisch-gerelateerde studie
Minimaal 1 jaar ervaring in de sales en bij voorkeur in de arbeidsbemiddeling
Veel ambitie om te groeien in je vak
Een representatieve houding
Sterk ontwikkelde communicatieve vaardigheden en veel overtuigingskracht
En een geldig rijbewijs B

Wat wij bieden
Voor wat hoort wat. Jij neemt jouw expertise mee, en wij zorgen voor een salaris dat daarbij past. Bovendien krijg je bij ons een laptop, smartphone en auto van de zaak. En je maakt kans op interessante bonussen! Verder regelen wij dat je korting krijgt op de sportschool, culturele uitstapjes, verzekeringen en je pensioenpremie. En ook wat betreft jouw professionele groei gaan we niet over één nacht ijs. Je volgt namelijk van meet af aan een op maat gemaakt opleidingstraject dat wordt verzorgd door gerenommeerde instituten.
Over ons
Kijk niet raar op als je op kantoor een collega hoort praten over hoe onze locatie in Singapore bepaalde zaken aanpakt, of als jouw leidinggevende een call voert in vloeiend Duits. We werken namelijk vanuit 44 landen over de hele wereld en daar zijn we trots op! We waren nooit zo groot geworden als we niet elke dag enkel en alleen gingen voor de beste match tussen professional en bedrijf. En hierin ben jij een onmisbare schakel. Dus stap jij in de wereld van Brunel? Solliciteer direct!

HBO",3.8,"Brunel
3.8",Groningen,-1,10000+ Employees,1975,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1
1,Fietskoerier,-1,"Wil je betaald worden om in je stad rond te rijden? En ben je op zoek naar een stabiele baan of bijbaan als Fietskoerier met een vast uurloon en verzekering? Dan is het tijd om te solliciteren bij Thuisbezorgd.nl!
Onderweg
Als onze Fietskoerier bezorg je heerlijke gerechten in jouw stad - je haalt ze op bij het restaurant en brengt ze naar onze hongerige klanten. Wij bieden de mogelijkheid om parttime en in het weekend te werken en het is zo leuk en gemakkelijk als het klinkt!
Wij maken je het leven gemakkelijker, door:
Je te voorzien van de benodigde uitrusting
Je te begeleiden met onze app terwijl jij door de stad rijdt
Je de keuze* te geven om je dag te beginnen vanuit huis of vanuit de lokale hub (*alleen van toepassing in bepaalde steden)


Onze Koerier:
Is minimaal 16 jaar oud.
Is super servicegericht en bezorgt met een glimlach.
Beschikt over een smartphone (met 4G!) voor de navigatie.
Houdt zich aan de verkeersregels.
Is beschikbaar op één doordeweekse avond en één avond in het weekend.
Ons aanbod
Er zijn genoeg voordelen wanneer je bij Thuisbezorgd.nl werkt:
Een vast uurloon - Je wordt dus doorbetaald tijdens het wachten.
Arbeidscontract en verzekering.
Enige flexibiliteit in je werktijden. Plan elke week zelf je uren in via onze app.
Ondersteuning van het team wanneer je dit nodig hebt.
De kans om buiten te werken en je stad op je duimpje te leren kennen

En een mooi salaris van €9,86 p.u, na 2 maanden €10 p.u. (vanaf 21 jaar)
Start als Bezorger bij Thuisbezorgd.nl in Den Bosch. Solliciteer nu!",4.1,"Thuisbezorgd.nl
4.1",Den Bosch,-1,1001 to 5000 Employees,2000,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
2,Document Controller,-1,"Document Controller
Zorg jij ervoor dat alle digitale documenten die gedurende meerdere projecten worden geproduceerd accuraat en gestructureerd worden opgeslagen, bijgehouden, gedeeld, maar ook spoedig teruggevonden kunnen worden? Door jouw nauwkeurigheid, stressbestendigheid en verantwoordelijkheid worden technische teams en projecten op tijd voorzien van efficiënte ondersteuning, dat cruciaal is voor de voortgang van de projecten.

Waar kom je terecht?
De afdeling GPS-NC (Global Project Services - New Construction), onderdeel van Applus+ Energy & Industry, is een internationale speler op het gebied van niet-destructief onderzoek (NDT), inspectie en onderzoeksoplossingen om de kwaliteit en integriteit van installaties te bepalen. GPS houdt zich bezig met voornamelijk nieuwbouw inspectie werkzaamheden aan bestaande leidingnetwerken aan land alsmede offshore. Voor de versterking van ons Project Team binnen GPS zoeken wij een Document Controller.

Wat ga je doen?
Het is jouw taak om de project engineers te ondersteunen in alle facetten van voornamelijk technische documentatie gedurende de uitvoering van een project. Deze documentatie is cruciaal voor de voortgang en het slagen van het project;
Na de inhoudelijke voorbereiding van de documenten door de project engineer, bereid jij de benodigde documenten voor om deze op de juiste wijze aan te leveren bij de klant en zorg je voor digitale ondertekening. Dit alles doe je volgens de instructies van de klant. Deze aanlevering verschilt per project en per klant;
Afhankelijk van de klant zorg je ervoor dat je de documenten volledig aanlevert ofwel per mail ofwel per upload in een door de klant toegewezen document portal;
Door jouw gedetailleerde werkwijze worden alle elektronische documenten accuraat op ons netwerk opgeslagen volgens de standaards voor document control binnen Applus+ RTD en in overleg met de project engineer;
Samen met de project engineer stel je het document register op en je voorziet de documenten van interne documentnummers;
Je beheert en bewaakt de document registers van alle projecten, waarin de revisies en status van alle documenten is opgenomen;
Wanneer de klant de documenten retourneert met een ‘approval code’, zorg je ervoor dat de project engineer hierover wordt geïnformeerd, werk je het document register bij en sla je de documenten op. Afhankelijk van de ontvangen code, bereid je zelf alvast de volgende revisie voor;
Je bewaakt de data voor tijdige oplevering van de documenten en ondersteunt de project engineer hierin;
Je bent het eerste aanspreekpunt intern aangaande vragen over de status van de documenten;
Je denkt actief mee over het optimaliseren van het document control proces en komt met aanpassingen waar mogelijk en waar nodig.

Wat zoeken wij?
Een afgeronde MBO opleiding;
Ervaring als document controller heeft de voorkeur en door deze ervaring ook kennis van verschillende revisie statussen, codes enz.;
Bedreven met MS Office en Adobe Acrobat DC.
Je hebt goede communicatieve en schriftelijke vaardigheden in het bijzonder Engels en ook Nederlands;
Heel nauwkeurig en oog voor detail;
Flexibel en gevoel voor prioriteiten;
Iemand die voldoening haalt uit creëren van structuur en overzicht.
De standplaats van de functie is Rotterdam en we zoeken een collega voor 40 uur per week.

Wat bieden wij?
Je komt terecht in een innovatieve organisatie met doorgroei- en opleidingsmogelijkheden;
Goede arbeidsvoorwaarden volgens de cao Metaal en Techniek;
Uitstekende secundaire arbeidsvoorwaarden, waaronder 40 vrije dagen en een 13e maand.

Het sollicitatieproces gedurende de COVID-19 maatregelen
Applus+ RTD houdt rekening met de geldende maatregelen. Om die reden zal het eerste kennismakingsgesprek plaatsvinden via Microsoft teams. De vervolggesprekken zullen plaatsvinden aan ons hoofdkantoor in Rotterdam, nabij Rotterdam Airport. Deze gesprekken houden wij in een grote ruimte, waar wij de afstand tussen de sprekers onderling kunnen garanderen en de ramen open zullen staan.",3.3,"Applus+ RTD
3.3",Rotterdam,-1,10000+ Employees,1996,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
3,Medewerker klantenservice,-1,"Onze groeiende detailhandel is op zoek naar een vakkundige probleemoplosser om als klantenservice-medewerker ons team te komen versterken. We zoeken een enthousiasteling die kan luisteren naar klantenservicekwesties en vervolgens voor elk probleem een unieke, innovatieve oplossing kan bieden. De succesvolle kandidaat voor deze functie zal het beleid van het bedrijf op het gebied van klantenservice goed beheersen en goed getraind zijn in productkennis die van cruciaal belang kan zijn voor het bieden van snelle en precieze assistentie aan klanten.
Verantwoordelijkheden en taken
Beantwoordt inkomende telefoongesprekken van klanten met betrekking tot facturatiekwesties, productproblemen, servicevragen en algemene zorgen van klanten
Het bijhouden van klantenmails en het juist wegzetten van acties richting andere temas binnen de organisatie
Weet goed het overzicht te bewaren en zorgt voor een goede borging en opvolging alsmede oplossingsgerichte instelling
Verantwoordelijk voor het onderhouden van een hoog niveau van professionaliteit met klanten en het werken aan het opbouwen van een positieve relatie met elke beller
Voldoende kennis van hulp via Whatsapp
Werk samen met het managementteam om op de hoogte te blijven van productkennis en op de hoogte te blijven van wijzigingen in het bedrijfsbeleid
Beïnvloed de hoofdgedachte van het bedrijf door het oplossen van problemen, en het veranderen van gefrustreerde klanten in terugkerende klanten
kwalificaties en vaardigheden
Minimaal MBO niveau
Het vermogen om te allen tijde professioneel en hoffelijk met klanten om te kunnen blijven gaan
Hardware kennis is een pré
Uitstekende verbale en schriftelijke communicatieve vaardigheden
Secundaire arbeidsvoorwaarden:
Vakantiegeld
Pensioen
Soort dienstverband: Fulltime, Bepaalde tijd
Ervaring:
Klantenservice: 1 jaar (Aanbevolen)
Locatie:
Postcode 2913 LV in Nieuwerkerk aan den IJssel (Vereist)
Taken:
Beantwoorden van klantvragen
Werk samen met management om bekend te zijn met nieuwe producten, diensten en richtlijnen
Vastleggen van klantinformatie in de klantenservice database
Ga op een professionele en vriendelijke manier met klanten om en luister actief naar hun problemen
Bied klanten hulp en oplossingen aan in overeenstemming met het klantenservice beleid van het bedrijf.
Andere taken die van je gevraagd worden
Thuiswerken:
Nee",-1,SiComputers,Nieuwerkerk aan den IJssel,-1,-1,-1,-1,-1,-1,-1,-1
4,Thuiswerken - Callcenter Medewerker Ziggo,-1,"Thuiswerken bij Conduent, start jouw sollicitatie en training vanuit huis.
Conduent houdt zich aan de richtlijnen van het RIVM. Kortom, thuiswerken is de norm. Het gesprek met onze Recruiter is geheel online. Word je aangenomen, dan volg jij de training grotendeels vanuit huis. Je nieuwe collega’s leer je ook virtueel kennen. Mocht je toch naar kantoor moeten komen, dan regelen wij jouw mondkapjes.
Over je kinderen hoef je je geen zorgen te maken. Onze banen op de VodafoneZiggo projecten zijn van essentieel belang. Dit betekent dat je kinderopvang geborgd is en we je hiervoor een brief uitreiken met welke je de opvang gegarandeerd kunt regelen.
Klanten bellen naar jou met technische vragen. Jij als klantenservice medewerker zal dit telefonisch beantwoorden. Je kan denken aan vragen over storingen en installaties. Samen met jouw collega verleen jij een topservice op de helpdesk van het project Ziggo op onze locatie in Rotterdam.
Wil jij werken als klantenservice medewerker voor VodafoneZiggo? Wil jij daarnaast onderdeel zijn van het leukste callcenter van Nederland? Solliciteer dan nu!
Wat je voor Ziggo gaat doen:
Je hebt contact met klanten van Ziggo, die uiteenlopende vragen hebben over producten en diensten die ze afnemen, waar jij technische ondersteuning geeft.
Veel gestelde vragen gaan o.a. over hulp bij storingen, facturen en product diensten
Na de basistraining volgt er nog een commerciële training en een administratieve training die vervolgens worden toegevoegd aan je takenpakket.
Daarnaast ben je vooral klantgericht bezig om te voldoen aan een ze hoog mogelijke klant tevredenheid.
Je bekijkt ook naar de huidige behoefte van de klant en of dit nog steeds aansluit bij de wensen van de klant
Wat je niet doet:
Je gaat niet ‘koud’ bellen naar consumenten of klanten van Ziggo om hen (nog meer) producten en diensten van Ziggo te verkopen
Verveeld achter je bureau zitten, elke klant heeft een andere vraag. Kom maar op!
Wat bieden wij jou:
De kans om extra te verdienen bovenop je salaris, door middel van bonussen en incentives
Meld je iemand aan die na 3 maanden nog werkzaam is, dan verdien jij een bonus
Je spaart Conduent Points, je spaart voor gadgets te denken aan iPads, telefoons, maar ook BBQ’s en andere goodies
Wekelijks vers fruit op de afdeling
Als je bij ons werkt, kun je gebruik maken van zeer aantrekkelijke kortingen op producten van VodafoneZiggo
Heerlijke verse bonen koffie van Lavazza.
Uitjes van Ziggo zelf of georganiseerd door Conduent
Werken voor een internationale organisatie, goed voor je CV
Begeleiding in de vorm van training en coaching on the job zodat je niet stil staat in je ontwikkeling
Mogelijkheid om je uren zelf in te delen én de keuze of je per week betaald wilt worden of per maand
Je gaat eerst op uitzendbasis, via onze externe partner easyworx, aan de slag
Na een jaar heb je de mogelijkheid om bij Conduent een vast contract te krijgen
Wat verwachten wij van jou:
Je bent 18 jaar of ouder
Je bent georganiseerd en kunt goed het overzicht behouden
Je vangt verkoopsignalen op van klanten en speelt daar op in
Je bent minimaal 16 uur per week beschikbaar
Nog geen ervaring met callcenterwerk? Geen probleem! Wij leiden je op
Conduent Rotterdam
Op loopafstand van het centraal station vind jij Conduent Rotterdam. Je bent dus binnen no time op je werk. Tijd voor pauze? Dan heb je om jij om je heen genoeg mogelijkheden voor een lekkere lunch. Oh en die koffie, die regelen wij gratis voor jou!",2.9,"Conduent
2.9",Capelle aan den IJssel,-1,10000+ Employees,2017,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
5,Applicatie/systeembeheerder voor 3 dagen per week,-1,"Ben jij graag allround bezig en heb jij een passie voor zowel systeembeheer als applicatiebeheer? Lees dan verder, want misschien zijn we op zoek naar jou!
Bedrijfsomschrijving Salus Service Center BV
Wij zijn een landelijke serviceorganisatie die een eigen applicatie ontwikkeld heeft en haar diensten aanbiedt aan verschillende organisaties die zich specialiseren op het het gebied van stoppen met roken. Dit doen wij sinds 2013 in Nijmegen met veel succes maar vooral ook met veel plezier.
Wij hebben onze eigen webapplicatie en andere systemen ontwikkeld. Deze webapplicatie moet natuurlijk up-to-date blijven en op maat worden gemaakt voor onze cliënten en coaches. Het bedrijf heeft een kleine eigen development / IT afdeling. Zij houden zich non stop bezig met het bouwen of verbeteren van de applicatie en het updaten van andere dergelijke systemen.
Hierbij ben je mede verantwoordelijk voor de uitvoering en zal je met name systeembeheer werkzaamheden verrichten. Dit betekent dat je ervoor zorgt dat alles up to date is, de ICT naar behoren werkt en eventueel verbetervoorstellen doet. Kortom, een functie vol uitdaging en afwisseling. Ons hoofdkantoor is gevestigd in Nijmegen en hier ga je dan ook aan de slag.
Functie-eisen
Wie ben jij:
Jij hebt HBO werk- en denkniveau (en ieder geval een afgeronde MBO niveau 4 ICT-opleiding)
Jij hebt ten minste 3 jaar ervaring als applicatie- en/of systeemheerder
Ervaring met CMS en CRM systemen, waaronder Wordpress en SuiteCRM (pré)
Minimaal LPI certificering level 1 (LPIC1). Je kunt een eenvoudig Linux systeem installeren en beheerwerkzaamheden uitvoeren. LPI certificering level 2 (LPIC2) is een pré.
Kennis en ervaring met VMware, Windows 10 en CentOS Linux.
VOIP telefonie en SQL databases (pré)
Analytisch- en probleemoplossend
Resultaatgerichtheid en stressbestendig
Salarisinformatie
Bruto start salaris € 2.200 p/m op basis van 40 uren
Herken jij jezelf in bovenstaande? Ben jij 24 uren per week beschikbaar?
Dan ben jij degene die wij zoeken.
Solliciteer vandaag nog door je motivatiebrief en CV te sturen.
Parttime uren: 24 per week
Soort dienstverband: Parttime
Salaris: €2.200,00 per maand
Thuiswerken:
Tijdelijk vanwege COVID-19",-1,Salus Service Center,Nijmegen,-1,-1,-1,-1,-1,-1,-1,-1
6,Leer-traject Servicemonteur,-1,"Wat ga je doen?
Zie jij kansen in de techniek? En wil je opgeleid worden tot een ervaren Servicemonteur? Dan heb ik hier een mooie kans voor jou! Als leerling servicemonteur werk je in een gezellig, dynamisch team met een gezellige werksfeer. Ook krijg je als leerling servicemonteur al veel verantwoordelijkheid. Binnen de organisatie is er aandacht voor goede arbeidsomstandigheden en zijn er goede voorzieningen om werk en privé goed te kunnen combineren!
Ben jij een starter in de techniek en ben je klaar om stappen te maken? Als starter ga je binnen de organisatie opgeleid worden tot een Servicemonteur in de warmtetechniek. Je leert alle fijne kneepjes van het vak door het op pad gaan met een ervaren Servicemonteur!
Je opleiding wordt betaald en daarnaast ontvang je nog een goed salaris tot de €2.000 bruto per maand;
Je gaat een traject aan waarbij je het eerste half jaar wegwijs wordt gemaakt in de warmtetechniek;
Dit zal bestaan uit een gedeelte theorie en een gedeelte praktijk;
Ben jij een echte doorzetter, wil je graag leren en ben je service gericht? Solliciteer dan direct en krijg binnen één werkdag een reactie van mij!
Wat heb je nodig?
Wat verwachten wij van jou?
Ervaring binnen de installatietechniek;
Rijbewijs B;
Je bent goed in met je handen werken;
Leergierig;
En je hebt lef!

Je krijgt:
Uitstekend salaris tot €2.200 bruto per maand;
Mogelijkheden tot een vast contract;
Pensioenregeling;
Studie- en opleidingsbudget;
Veel afwisseling van werk;
Auto van de zaak;
Reiskostenvergoeding;
Flexibele werktijden;
Goede secundaire voorwaarden;
Opleidingsmogelijkheden;
Doorgroeimogelijkheden;
Zelfstandige baan binnen een vernieuwende dynamische organisatie.",5.0,"VNOM
5.0",Gouda,-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
7,Technical Support,-1,"Vind je het fantastisch om heel praktisch bezig te zijn in een technische omgeving? Oh jazeker. Heb jij een klantgerichte houding? Maar natuurlijk! Krijg je voldoening uit het adviseren van klanten? Zeker weten. Geldt dit ook voor jou? Dan ben jij de persoon die we zoeken!
Functie
Voor een bestaand project zijn we op zoek naar een nieuwe collega die telefonisch elektrische huis-installaties op afstand gaat schouwen. Na het schouwen zorg je ervoor dat de opdracht correct wordt ingevoerd in onze systemen. Jouw administratieve ervaring schiet je hierbij te hulp. Je collega’s verrichten de installaties, maar jij draagt zorg voor het voorwerk!
Je gaat service- en oplossingsgericht te werk en bent in staat om telkens onze klanten weer tevreden te maken met jouw oplossing. Je bent het eerste aanspreekpunt voor onze monteurs wanneer de omschreven opdracht niet overeenkomt met de werkelijkheid en probeert jouw collega verder te helpen.
Je hebt recente ervaring van elektrische binnenhuis installaties. Bij ESAS zijn wij altijd op zoek naar medewerkers met de juiste attitude, motivatie en gedrevenheid. We geven jou als Technical Support Employee de juiste intensieve training en coaching. Een klantgerichte houding is uiteraard wel een must.
Profiel
Je bent klantgericht en communicatief;
Je bent fulltime (40 uur per week) beschikbaar;
Je hebt veel kennis van elektrische binnenhuis installaties;
Het is een pré als je een MBO niveau 2 opleiding in de elektra hebt afgerond;
Je bent administratief sterk onderlegd;
Je bent in het bezit van een geldig rijbewijs B.
Ons aanbod
Een marktconform salaris;
Een winstafhankelijke dertiende maand;
Mogelijkheid tot vast dienstverband bij goed presteren;
Een informele, betrokken en professionele werkgever;
Een gezellige vrijdagmiddagborrel;
De kans om bij te dragen aan het succes van ons project.
Reageren
Ga jij met ons de uitdaging aan? Dan ontvangen wij graag zo spoedig mogelijk je cv en motivatie. Voor meer informatie over de functie kun je contact opnemen via het nummer +31 (0)73 844 33 75.
Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.
Soort dienstverband: Fulltime, Bepaalde tijd
Aanvullende betalingen:
Overuren uitbetaald
Vakantiegeld
Arbeidsvoorwaarden:
Kerstpakket
Pensioen
Reiskostenvergoeding
Vrijdagmiddagborrel
Zorgverzekering
Thuiswerken:
Tijdelijk vanwege COVID-19",-1,ESAS 3Services BV,Hedel,-1,-1,-1,-1,-1,-1,-1,-1
8,Onderwijsassistent,-1,"Over de functie
Heb jij een onderwijsassistent diploma of je propedeuse gehaald van de PABO? Ga dan de uitdaging aan!
Hou jij van flexibel werken en werk je graag op verschillende scholen in verschillende functies, sluit je dan aan bij onze pool voor de regio Haaglanden en Rotterdam. Wij werken samen met ruim 450 scholen waarbij wij onderwijsassistenten van werk voorzien. Hierin maken wij een zo passende mogelijke match met jouw voorkeuren.
We houden contact! Ik zoek samen met jou uit waar je jouw kwaliteiten het beste kan inzetten en wat het beste past bij jouw voorkeuren. Of je nu graag lesgeeft in de onderbouw, middenbouw of bovenbouw, wij hebben meer dan genoeg opdrachten die aansluit op jouw voorkeuren. Na de kennismaking blijven wij verbonden met elkaar; ik volg je carrière als onderwijsassistent en hebben vaak contact met elkaar om ervoor te zorgen dat jij plezier hebt in jouw werk.
Werken voor Maandag® betekent werken vanuit flexibele zekerheid. Je werkt op één of meerdere scholen in een jaar, op basis van een aanstelling bij Maandag®. Zo ben je voorzien van afwisselend werk en Kortom: jouw werkgeluk als leerkracht staat voor ons centraal!
Functie eisen
Wat mogen wij van jou verwachten?
Je bent in het bezit van een onderwijsassistent diploma, of je hebt je propedeuse behaald van de PABO.
Je bent een flexibele onderwijassistent en kunt je goed aanpassen in een nieuwe omgeving.
Je pedagogische en didactische vaardigheden staan als een huis.
Je kunt goed differentiëren tussen leerlingen en je klassenmanagement is dik in orde.
Wat mag je van ons verwachten?
Een salaris conform de cao primair onderwijs.
Persoonlijke begeleiding van een vast contactpersoon.
De mogelijkheid om jezelf als onderwijsassistent te blijven ontwikkelen in onze Academy.
Toegang tot evenementen van club Maandag, welcome to the family!
Een reiskostenvergoeding van €0,19 per kilometer, daar kun je mee thuiskomen!
Over het bedrijf
Professionals die bij Maandag® werken selecteren zichzelf. Samen met hen zien wij de maandag als een fris en nieuw begin. Het gevoel dat alles mogelijk is. Dat gevoel van ambitie en optimisme dragen we elke dag van de week uit. Want eigenlijk is het voor ons elke dag maandag. Professionals bij Maandag® houden van hun werk, net als wij. Daarom zijn we zo’n goed team. Snel, gedreven en heel positief. We willen alles uit ons werk halen en zien werkgeluk als de sleutel voor succes. Jij toch ook?
Solliciteren
Herken jij jezelf in dit profiel? En lijkt werken bij Maandag® je een mooie stap? Solliciteer dan meteen. Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons.",2.8,"Maandag
2.8",The Hague,-1,1001 to 5000 Employees,1989,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
9,Contactverantwoordelijke niveau 4,-1,"Stichting Eykenburg is op zoek naar een enthousiaste:

Contactverantwoordelijke niveau 4 (VPK) vaste nacht
(16 tot 24 uur per week)

Hoe ziet de functie eruit?
Je bent als vaste nachtverpleegkundige de spin in het web waarbij je verantwoordelijk bent voor de aansturing van het nachtteam voor beide locaties. Daarnaast werk je ook mee in de uitvoering. Kernwoorden voor de functie met betrekking tot de somatische doelgroep zijn: motiveren en stimuleren tot zelfredzaamheid binnen de persoonsgerichte benadering. Bij de begeleidings- en PG-cliënten is er soms ook sprake van een psychiatrisch beeld, waardoor psychosociale begeleiding op maat noodzakelijk is. Kernwoorden zijn: persoonsgerichte zorg, observeren, structureren, uitproberen, evalueren, afstemmen en rapporteren.

Wij zoeken jou!
Jij bent een ervaren verpleegkundige die beschikt over coachende kwaliteiten. Je bent proactief, zorgvuldig, flexibel, je behoudt overzicht en je werkt graag in een dynamische omgeving. Je kunt efficiënt en gestructureerd werken.
Daarnaast breng je me:
Een diploma Verpleegkundige MBO of HBO;
Je bent BIG geregistreerd en je bent bevoegd en bekwaam voor de verpleegtechnische handelingen
Uitstekende sociale vaardigheden, tact, invoelend vermogen en het vermogen tot stimuleren, motiveren, overtuigen en bemiddelen;
Ervaring met het gebruik van het ECD (bij voorkeur Nedap);
Om je tussen de locaties te kunnen verplaatsen is een rijbewijs een vereiste.
Wat kan jij van ons verwachten?
Wij bieden jou een uitdagende functie in een professionele organisatie die volop in beweging is;
Een arbeidsovereenkomst voor onbepaalde tijd;
De functie is ingedeeld in FWG 45, afhankelijk van opleiding en ervaring;
Diverse doorgroeimogelijkheden;
Eindejaarsuitkering van 8,33% over het bruto salaris;
Een divers aanbod van secundaire arbeidsvoorwaarden, zoals bijvoorbeeld een fietsplan, sport-/fitnessabonnement, computer/tabletplan, uitruilregeling reiskostenvergoeding en een bonusregeling wanneer je een nieuwe collega aanbrengt;
Overige arbeidsvoorwaarden op basis van CAO VVT.
Wacht niet met solliciteren!
Ben jij enthousiast geworden en wil je onze organisatie komen versterken? Dan ontvangen wij graag jouw CV en motivatiebrief! Je kunt deze indienen via werkenbij@eykenburg.nl. Heb je na het lezen van de vacature nog vragen? Neem dan contact op met Anja van der Form, telefoonnummer 06 461 422 54.",-1,Stichting Eykenburg,The Hague,-1,201 to 500 Employees,1972,Unknown,-1,-1,$10 to $25 million (USD),-1
