0,1,2
negotiation,digital literacy,dutch
business management,maintenance,english
leadership,repair,german
teamwork,utilities,french
entrepreneurship,pharmaceutics,italian
social media,product testing,romanian
communication,forestry,
Scheduling,advertising,
Microsoft Office,sales operations,
Welcoming Visitors,marketing,
Self Motivation,photography,
Organizing ,editing,
Presentation,teaching,
Public speaking,auditing,
Creativity,law,
Critical thinking,physiology,
Logical thinking,bookkeeping,
Problem solving,medicine,
Supervising,cooking,
Patience,carpenting,
Empathy,construction,
Punctuality,delivery,
Problem solving,transportation,
,computer,
,sales,
,Answering Phones,
,Billing,
,Shipping,
,Cashier,
,Nursing,
,Engineering,
,Management,
,ICT,
,,
,chemistry,
,military,
,finance,
,hospitality,
,math,
,plumber,
,nurse,
,agriculture,
,mechanic,
,administration,
,teaching,
,healthcare,
,buziness,
,psychology,
,technician,
,carpenter,
,logistics,
,programming,
,administaration,
,installation,
,repair,
,accounting,
,logistics,
,writing,
,driving,
,Computer,
