,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,0,Sales Consultant Brunel Engineering ,-1,"You know better than anyone how to bind other people to you, people for whom you can mean something. A great new assignment for jobseekers and the right match for their sourcing issue for clients. If you are also curious about market developments, would you like to hear more about projects within the industry and are you able to translate this information into opportunities for Brunel, then a role as a Sales Consultant is perfect for you! About this position As a Sales Consultant you always have something to do. Your main goal is to make the best match between clients and candidates, and that involves a lot. Your work does not stop at finding and connecting both parties. You are also responsible for expanding and maintaining your own network of candidates and clients. That means that you are in constant contact with both parties. Keeping an overview and keeping different balls in the air is no problem for you. Your focus area will be on specialists and organizations within the Northern Netherlands Industry. Together with your team you operate the fields: Maintenance & Asset Management, Industrial Automation, Supply Chain & Logistics and Innovation & Development. Your colleagues are all commercial, enterprising and ambitious. Together we aim for the best result and recognisability in the market.  About you In short, you have a mega palette of tasks and responsibilities. It is therefore important that you can keep an overview. And we ask more of you. So you have at least: A college degree from a commercial or technical-related study At least 1 year of experience in sales and preferably in job placement A lot of ambition to grow in your profession A representative attitude Strongly developed communication skills and a lot of persuasiveness And a valid driver's license B.  What we offer Give a little, take a little. You bring your expertise with you, and we provide a salary that matches it. You will also receive a laptop, smartphone and company car from us. And you have the chance to win interesting bonuses! We also arrange that you get a discount on the gym, cultural trips, insurance and your pension premium. And we don't take it overnight either with regard to your professional growth. You follow a tailor-made training program from the outset that is provided by renowned institutes. About us Don't be surprised if you hear a colleague in the office talking about how our location in Singapore handles certain matters, or if your supervisor makes a call in fluent German. We work from 44 countries around the world and we are proud of that! We would never have grown this big if we didn't just go for the best match between professional and company every day. And you are an indispensable link in this. So do you step into Brunel's world? Apply immediately!  HBO ",3.8,"Brunel
3.8",Groningen,-1,10000+ Employees,1975,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1
1,1,Bicycle courier ,-1,"Do you want to get paid to drive around your city? And are you looking for a stable job or part-time job as a bicycle courier with a fixed hourly wage and insurance? Then it's time to apply for a job at Thuisbezorgd.nl! On the way As our bicycle courier you deliver delicious dishes to your city - you pick them up at the restaurant and take them to our hungry customers. We offer the option to work part time and on weekends and it's as fun and easy as it sounds! We make your life easier by: Provide you with the necessary equipment Guide you with our app while you drive through town Give you the choice * to start your day from home or from the local hub (* only applicable in certain cities)   Our Courier: Is at least 16 years old. Is super service-oriented and delivers with a smile. Has a smartphone (with 4G!) For navigation. Keeps to the traffic rules. Available on one weekday evening and one evening on the weekend. Our offer There are plenty of benefits when you work at Thuisbezorgd.nl: A fixed hourly wage - So you will continue to be paid while waiting. Employment contract and insurance. Some flexibility in your working hours. Schedule your hours yourself every week via our app. Support from the team when you need it. The chance to work outside and get to know your city like the back of your hand  And a nice salary of € 9.86 p.h, after 2 months € 10 p.h. (from 21 years) Start as a Delivery Driver at Thuisbezorgd.nl in Den Bosch. Apply Now! ",4.1,"Thuisbezorgd.nl
4.1",Den Bosch,-1,1001 to 5000 Employees,2000,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
2,2,Document Controller ,-1,"Document Controller Do you ensure that all digital documents produced during multiple projects are accurately and structured stored, maintained, shared, but can also be retrieved quickly? Because of your accuracy, stress resistance and responsibility, technical teams and projects are provided with efficient support on time, which is crucial for the progress of the projects.  Where will you end up? The GPS-NC (Global Project Services - New Construction) division, part of Applus + Energy & Industry, is an international player in the field of non-destructive testing (NDT), inspection and research solutions to determine the quality and integrity of installations. GPS is mainly engaged in new construction inspection work on existing pipeline networks on land as well as offshore. We are looking for a Document Controller to strengthen our Project Team within GPS.  What are you going to do? It is your job to support the project engineers in all facets of mainly technical documentation during the execution of a project. This documentation is crucial to the progress and success of the project; After the substantive preparation of the documents by the project engineer, you prepare the necessary documents to deliver them to the customer in the correct manner and you ensure digital signatures. You do all this according to the instructions of the customer. This delivery differs per project and per customer; Depending on the customer, you ensure that you provide the complete documents either by email or by upload in a document portal assigned by the customer; Thanks to your detailed working method, all electronic documents are accurately stored on our network according to the standards for document control within Applus + RTD and in consultation with the project engineer; Together with the project engineer you draw up the document register and you provide the documents with internal document numbers; You manage and monitor the document registers of all projects, in which the revisions and status of all documents are included; When the customer returns the documents with an ""approval code"", you ensure that the project engineer is informed about this, update the document register and save the documents. Depending on the received code, you prepare the next revision yourself; You monitor the data for the timely delivery of the documents and support the project engineer in this; You are the first point of contact internally for questions about the status of the documents; You actively think about optimizing the document control process and come up with adjustments where possible and where necessary.  What are we looking for? A completed MBO education; Experience as a document controller is preferred and because of this experience also knowledge of different revision statuses, codes, etc .; Proficient with MS Office and Adobe Acrobat DC. You have good communication and writing skills, in particular English and Dutch; Very accurate and an eye for detail; Flexible and a sense of priorities; Someone who gets satisfaction from creating structure and overview. The position of the position is Rotterdam and we are looking for a colleague for 40 hours a week.  What do we offer? You will end up in an innovative organization with growth and training opportunities; Good employment conditions in accordance with the Metal and Technology CLA; Excellent benefits, including 40 days off and a 13th month.  The application process during the COVID-19 measures Applus + RTD takes the applicable measures into account. For that reason, the first introductory meeting will take place via Microsoft teams. The follow-up interviews will take place at our head office in Rotterdam, near Rotterdam Airport. We hold these conversations in a large room, where we can guarantee the distance between the speakers and the windows will be open. ",3.3,"Applus+ RTD
3.3",Rotterdam,-1,10000+ Employees,1996,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
3,3,Customer service representative ,-1,"Our growing retail sector is looking for a skilled problem solver to join our team as a customer service representative. We're looking for an enthusiast who can listen to customer service issues and then provide a unique, innovative solution to each issue. The successful candidate for this position will have a good command of the company's customer service policies and be well trained in product knowledge that can be critical to providing prompt and precise assistance to customers. Responsibilities and duties Answers incoming phone calls from customers regarding billing issues, product issues, service questions and general customer concerns Keeping up-to-date with customer emails and correctly setting actions to other topics within the organization Knows how to keep an overview and ensures good assurance and follow-up as well as a solution-oriented attitude Responsible for maintaining a high level of professionalism with customers and working to build a positive relationship with every caller Sufficient knowledge of help via Whatsapp Work with the management team to stay on top of product knowledge and stay on top of changes to company policy Influence the company's rationale by solving problems and turning frustrated customers into repeat customers qualifications and skills Minimum MBO level The ability to deal with customers professionally and courteously at all times Hardware knowledge is an advantage Excellent verbal and written communication skills Secondary benefits: Holiday pay Retirement Type of employment: Full-time, Fixed-term Experience: Customer service: 1 year (Recommended) Location: Postcode 2913 LV in Nieuwerkerk aan den IJssel (Required) Tasks: Answering customer questions Work with management to be familiar with new products, services and guidelines Recording customer information in the customer service database Deal with customers in a professional and friendly manner and actively listen to their concerns Provide customers with assistance and solutions in accordance with the company's customer service policy. Other tasks required of you Working from home: No ",-1.0,SiComputers,Nieuwerkerk aan den IJssel,-1,-1,-1,-1,-1,-1,-1,-1
4,4,Working from home - Call center Employee Ziggo ,-1,"Working from home at Conduent, start your application and training from home. Conduent adheres to the guidelines of the RIVM. In short, working from home is the norm. The conversation with our Recruiter is completely online. If you are hired, you will largely follow the training from home. You also get to know your new colleagues virtually. If you still have to come to the office, we will arrange your mouth masks. You don't have to worry about your kids. Our jobs on the VodafoneZiggo projects are essential. This means that your childcare is guaranteed and we will issue you a letter with which you can guarantee it to be arranged. Customers call you with technical questions. You as a customer service employee will answer this by telephone. You can think of questions about malfunctions and installations. Together with your colleague, you provide a top service at the helpdesk of the Ziggo project at our location in Rotterdam. Do you want to work as a customer service employee for VodafoneZiggo? Do you also want to be part of the best call center in the Netherlands? Then apply now! What you will be doing for Ziggo: You have contact with Ziggo customers who have various questions about products and services they purchase, where you provide technical support. Frequently asked questions include help with malfunctions, invoices and product services After the basic training, there is a commercial training and an administrative training, which are then added to your job responsibilities. In addition, you are mainly customer-oriented to meet the highest possible customer satisfaction. You also look at the current needs of the customer and whether this still matches the wishes of the customer What you will not do: You will not call ""cold"" to consumers or customers of Ziggo to sell them (even more) products and services from Ziggo Bored at your desk, every customer has a different question. Bring it on! What do we offer you: The chance to earn extra on top of your salary, through bonuses and incentives If you register someone who is still working after 3 months, you will earn a bonus You save Conduent Points, you save for gadgets such as iPads, telephones, but also BBQs and other goodies Fresh fruit on the ward every week If you work with us, you can take advantage of very attractive discounts on VodafoneZiggo products Delicious fresh bean coffee from Lavazza. Outings from Ziggo itself or organized by Conduent Working for an international organization, good for your CV Guidance in the form of training and coaching on the job so that you do not stand still in your development Possibility to divide your hours yourself and choose whether you want to be paid per week or per month You first start working on a temporary basis, through our external partner easyworx After a year you have the option to get a permanent contract with Conduent What do we expect from you: You are 18 or older You are organized and you can keep an overview You pick up sales signals from customers and respond to them You are available at least 16 hours a week No experience with call center work yet? No problem! We train you Conduent Rotterdam You will find Conduent Rotterdam within walking distance of the central station. So you are at work in no time. Time for a break? Then you have plenty of options around you for a tasty lunch. Oh and that coffee, we'll arrange it for you for free! ",2.9,"Conduent
2.9",Capelle aan den IJssel,-1,10000+ Employees,2017,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
5,5,Application / system administrator for 3 days a week ,-1,"Do you like working all-round and do you have a passion for both system management and application management? Then read on, because we might be looking for you! Company description Salus Service Center BV We are a national service organization that has developed its own application and offers its services to various organizations that specialize in the field of quitting smoking. We have been doing this in Nijmegen since 2013 with great success, but above all with great pleasure. We have developed our own web application and other systems. This web application must of course remain up-to-date and be tailor-made for our clients and coaches. The company has its own development / IT department. They are non-stop building or improving the application and updating other such systems. You are partly responsible for the implementation and you will mainly perform system management activities. This means that you ensure that everything is up to date, that the IT works properly and that you make suggestions for improvement. In short, a position full of challenge and variety. Our head office is located in Nijmegen and this is where you get to work. Job requirements Who are you: You have an HBO working and thinking level (and in any case a completed MBO level 4 ICT training) You have at least 3 years of experience as an application and / or system administrator Experience with CMS and CRM systems, including Wordpress and SuiteCRM (pre) Minimum LPI certification level 1 (LPIC1). You can install a simple Linux system and perform management tasks. LPI certification level 2 (LPIC2) is an advantage. Knowledge and experience with VMware, Windows 10 and CentOS Linux. VOIP telephony and SQL databases (pre) Analytical and problem solving Result orientation and stress resistant Salary information Gross starting salary € 2,200 p / m based on 40 hours Do you recognize yourself in the above? Are you available 24 hours a week? Then you are the one we are looking for. Apply today by sending your motivation letter and CV. Part-time hours: 24 per week Type of employment: Part-time Salary: € 2,200.00 per month Working from home: Temporarily due to COVID-19 ",-1.0,Salus Service Center,Nijmegen,-1,-1,-1,-1,-1,-1,-1,-1
6,6,Learning trajectory Service technician ,-1,"What are you going to do? Do you see opportunities in technology? And do you want to be trained as an experienced service technician? Then I have a great opportunity for you here! As an apprentice service technician you work in a pleasant, dynamic team with a pleasant working atmosphere. As an apprentice service technician you also get a lot of responsibility. Within the organization, attention is paid to good working conditions and there are good facilities to combine work and private life! Are you a starter in technology and are you ready to take steps? As a starter you will be trained within the organization as a Service technician in heating technology. You learn all the tricks of the trade by going out with an experienced Service Technician! Your training will be paid and you will also receive a good salary up to € 2,000 gross per month; You take on a trajectory in which you are familiarized with heating technology during the first six months; This will consist of part theory and part practice; Are you a real go-getter, would you like to learn and are you service oriented? Then apply immediately and receive a response from me within one working day! What do you need? What do we expect from you? Experience in installation technology; Driving License B; You are good at working with your hands; Eager to learn; And you have guts!  You get: Excellent salary up to € 2,200 gross per month; Possibilities for a permanent contract; Pension scheme; Study and training budget; Lots of variety in work; Company car; Travel allowance; Flexible working hours; Good secondary conditions; Training opportunities; Growth opportunities; Independent job within an innovative dynamic organization. ",5.0,"VNOM
5.0",Gouda,-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
7,7,Technical Support ,-1,"Do you find it fantastic to be very practical in a technical environment? Oh yes. Do you have a customer-oriented attitude? But of course! Do you get satisfaction from advising clients? Sure. Does this also apply to you? Then you are the person we're looking for! Function For an existing project we are looking for a new colleague who will inspect electrical home installations remotely by telephone. After the inspection, you ensure that the assignment is correctly entered into our systems. Your administrative experience will help you with this. Your colleagues carry out the installations, but you take care of the preparatory work! You are service and solution-oriented and you are able to make our customers satisfied with your solution time and again. You are the first point of contact for our technicians when the described assignment does not correspond to reality and you try to help your colleague further. You have recent experience of electrical indoor installations. At ESAS we are always looking for employees with the right attitude, motivation and drive. As a Technical Support Employee, we give you the right intensive training and coaching. A customer-oriented attitude is of course a must. Profile You are customer-oriented and communicative; You are available full-time (40 hours per week); You have a lot of knowledge of electrical indoor installations; It is an advantage if you have completed an MBO level 2 education in electricity; You have a strong administrative background; You are in possession of a valid driver's license B. Our offer A competitive salary; A profit-dependent thirteenth month; Possibility of permanent employment with good performance; An informal, committed and professional employer; A pleasant Friday afternoon drink; The opportunity to contribute to the success of our project. Comment Will you take up the challenge with us? Then we would like to receive your resume and motivation as soon as possible. For more information about the position, please contact us on +31 (0) 73 844 33 75. Acquisition in response to this vacancy is not appreciated. Type of employment: Full-time, Fixed-term Additional payments: Paid overtime Holiday pay Terms of employment: Christmas package Retirement Travel allowance Friday afternoon drinks Health insurance Working from home: Temporarily due to COVID-19 ",-1.0,ESAS 3Services BV,Hedel,-1,-1,-1,-1,-1,-1,-1,-1
8,8,Teaching assistant ,-1,"About the position Have you obtained a teaching assistant diploma or your propaedeutic certificate from the PABO? Then accept the challenge! Do you like flexible working and would you like to work at different schools in different positions, then join our pool for the Haaglanden and Rotterdam regions. We work together with more than 450 schools where we provide teaching assistants with work. In this we make the most suitable match possible with your preferences. We'll keep in touch! I will work with you to find out where you can best use your qualities and what best suits your preferences. Whether you like to teach in the lower, middle or upper classes, we have more than enough assignments that match your preferences. After the introduction, we remain connected to each other; I follow your career as a teaching assistant and often have contact with each other to ensure that you enjoy your work. Working for Maandag® means working from flexible security. You work at one or more schools in a year, based on an appointment at Maandag®. This way you are provided with varied work and in short: your happiness at work as a teacher is central to us! Job requirements What can we expect from you? You are in possession of a teaching assistant diploma, or you have obtained your propaedeutic certificate from the PABO. You are a flexible teaching assistant and you can adapt well in a new environment. Your pedagogical and didactic skills are rock solid. You can differentiate well between students and your class management is perfectly fine. What can you expect from us? A salary in accordance with the collective labor agreement for primary education. Personal guidance from a permanent contact person. The opportunity to continue to develop yourself as a teaching assistant in our Academy. Access to club events Monday, welcome to the family! You can come home with a travel allowance of € 0.19 per kilometer! About the company Professionals who work at Maandag® select themselves. Together with them, we see Monday as a fresh and new beginning. The feeling that anything is possible. We convey that feeling of ambition and optimism every day of the week. Because actually every day is Monday for us. Professionals at Maandag® love their work, just like we do. That's why we are such a good team. Fast, driven and very positive. We want to get the most out of our work and see happiness at work as the key to success. You too? Apply Do you recognize yourself in this profile? And does working at Maandag® seem like a great step to you? Then apply immediately. Who knows, maybe your Monday will soon look just as cool as ours. ",2.8,"Maandag
2.8",The Hague,-1,1001 to 5000 Employees,1989,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
9,9,Level 4 liaison officer ,-1,"The Eykenburg Foundation is looking for an enthusiastic:  Level 4 contact responsible (VPK) fixed night (16 to 24 hours a week)  What does the position look like? As a permanent night nurse, you are the spider in the web where you are responsible for managing the night team for both locations. You also participate in the implementation. Key words for the position with regard to the somatic target group are: motivating and stimulating self-reliance within the person-oriented approach. The counseling and PG clients sometimes also have a psychiatric image, which makes tailor-made psychosocial counseling necessary. Keywords are: person-centered care, observing, structuring, trying out, evaluating, tuning and reporting.  We are looking for you! You are an experienced nurse with coaching qualities. You are proactive, careful, flexible, you maintain an overview and you enjoy working in a dynamic environment. You can work efficiently and in a structured way. In addition, you bring me: A diploma Nursing MBO or HBO; You are BIG registered and you are authorized and competent for technical nursing activities Excellent social skills, tact, empathy and the ability to stimulate, motivate, convince and mediate; Experience with the use of the ECD (preferably Nedap); A driver's license is required to be able to move between locations. What can you expect from us? We offer you a challenging position in a professional organization that is constantly on the move; An employment contract for an indefinite period; The position is classified in FWG 45, depending on education and experience; Various career opportunities; End-of-year bonus of 8.33% of the gross salary; A diverse range of fringe benefits, such as a bicycle plan, sports / fitness subscription, computer / tablet plan, travel allowance exchange scheme and a bonus scheme when you bring in a new colleague; Other employment conditions based on the Collective Labor Agreement VVT. Do not wait to apply! Have you become enthusiastic and do you want to strengthen our organization? Then we would like to receive your CV and motivation letter! You can submit this via werkbij@eykenburg.nl. Do you have any questions after reading the vacancy? Please contact Anja van der Form, telephone number 06 461 422 54. ",-1.0,Stichting Eykenburg,The Hague,-1,201 to 500 Employees,1972,Unknown,-1,-1,$10 to $25 million (USD),-1
