,0
0,leadership
1,carpenter
2,administration
3,hospitality
4,medicine
5,dental
6,medical
7,care
8,construction
9,excavation
10,delivery
11,psychiatry
12,psychology
13,maintainance
14,oncology
15,gp
16,military
17,software
18,housing
19,driver
20,language
21,sales
22,education
23,pediatrics
24,management
25,surgeon
26,teaching
27,legal
28,transportation
29,gynecology
30,physiotherapy
31,buziness
32,mechanic
33,computer
34,geriatrics
35,art
36,therapy
37,hr
38,cooking
39,plumber
40,agriculture
41,architecture
42,finance
43,math
44,installation
45,reapair
46,nurse
47,administaration
48,law
49,otorhinolaryngology
50,service
51,commercial
52,nth
53,healthcare
54,communication
55,ICT
56,marketing
57,chemistry
58,logistics
59,science
60,technician
61,cardiology
62,cosmetology
63,programming
64,accounting
65,engineer
66,
